asset_id,asset_name,asset_description,asset_maker,record_type,parent_asset_id,children_count,site_id,serial_number,asset_tag,asset_user,equipment_id,legacy_identifier,criticality,condition,asset_class,activation_date,retirment_date,client_vendor_id,company_name,site_name,asset_has_image,has_image,parent_has_image,pool_id,pool,product_id,parent_product_id,product_name,parent_product_name,category_id,root_category_id,category_name,root_category_name,manufacturer_id,manufacturer,display_part_number,display_name,manufacturer_part_number,asset_room,location,station,tool_role,tool_id,department_id,department_name,custodian_name,warranty,warranty_end,is_warranty_expired,depreciation_method,depreciation_basis,salvage_value,total_service_cost,life_span_months,due_for_replacement_date,depreciation_proc,purchase_date,purchase_cost,time_in_service,retirement_reason,residual_cost,employee_id,asset_service_record_id,result_status,as_found_result,as_left_result,last_service_date,last_service,next_service_date,next_service,service_schedule_segment_id,service_schedule_id,service_schedule,service_order_id,service_order_status,custom_order_number,service_order_item_id,vendor,technician,certificate_number,due_trigger_date,past_due_trigger_date,due_status,work_status
1235540,"Thermocouple Wire Spools - CBL-20-JJ-FEP-FEP-NC, CBL-20-JJ-G-G-NC -","Type ""J"" Special limits insulated thermocouple wire rolls used for field pyrometry.",Unidentified,1,,0,96552,---,N/A,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,300926,,Thermocouple Wire TC Wire,,3436,3435,TC Wire,,1000,,Generic 3436,,Generic 3436,Pyrometry Field,,,1,27366.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235543,Data Acquisition System - DAQBOOK/2005,"Daqbook 2005 with 28 type ""K"" Thermocouples. S/N 808005 U/N K5",IOtech,1,,0,96552,808005,K5,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,182527,168302.0,IOT DaqBook/2005 Multifunction Data Acquisition System,IOT DaqBook Series Multifunction Data Acquisition Systems,2476,2044,Data Acquisition System,,3458,IOtech,DaqBook/2005,,DaqBook/2005,Pyrometry Field,Pyro,,1,27369.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235555,SPER 810035C Stopwatch / Timer,SPER 810035C Stopwatch / Timer,SPER,1,,0,96552,029531,T2,Pyrometry,,,,,,,,,,Main Location,False,False,False,620646,Pyro,171163,83645.0,SS 810035 Digital Stop Watch,SS Digital Stop Watch,113,95,Stopwatch,,1197,Sper Scientific,810035,,810035,Pyrometry Field,Pyrometry Lab/Field - Jesse R,,1,27381.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235561,Data Acquisition System - DAQBOOK/2000 - 808004,"Daqbook 2000 with connections for 14 type ""N"" thermocouples. S/N 808004 U/N N2",IOtech,1,,0,96552,808004,N2,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,182527,168302.0,IOT DaqBook/2005 Multifunction Data Acquisition System,IOT DaqBook Series Multifunction Data Acquisition Systems,2476,2044,Data Acquisition System,,3458,IOtech,DaqBook/2005,,DaqBook/2005,Pyrometry Field,Pyro,,1,27387.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235563,Timer - Sportline,Stop watch Sportline,Sportline,1,,0,96552,T15,T15,Matt C,,,,,,2016-07-06,,,,Main Location,False,False,False,620646,Pyro,163250,79434.0,Sportline 228 Stopwatch,Stopwatch,113,95,Stopwatch,,2219,Sportline,228,,228,Pyrometry Field,Matt Coleman,,1,27389.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235564,Thermocouple Probes - Salt Bath - SBP Set 1,"A Type ""N"" Thermocouple wire set S/N's 06A/B/C/D/E/F, 10A/B/C/D/E used for Temperature Uniformity Surveys.",Unidentified,1,,0,96552,SBP Set 1,SBP1,,,,,,,,,,,Main Location,False,False,False,620646,Pyro,300128,,Thermocouple Probe,,3464,88,Thermocouple Probe,,1000,,GENERIC 3464,,GENERIC 3464,Pyrometry Field,Pyro,,1,27390.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235569,"Calibrator, Digital - Fluke 726 Field Potentiometer - 1880060",Field Calibrator used for testing of Temperature and Electrical instrumentation.,Fluke,1,,0,96552,1880060,FC6,Joey Craig,,,,,,,,,,Main Location,False,False,False,620646,Pyro,143902,139723.0,Fluke 726 Precision Multifunction Process Calibrator,Fluke Precision Multifunction Process Calibrator,266,70,Process Calibrator,,566,Fluke,726,,726,Pyrometry Field,Pyro,,1,27395.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235590,"Thermocouple Wire Set - ""J"" Iron-Constantan - J801-J816","A Type ""J"" Thermocouple wire set used for Temperature Uniformity Surveys.",Unidentified,1,,0,96552,J801-J816,TWJ80,,,,,,,2012-01-30,,,,Main Location,False,True,True,620646,Pyro,53711,33769.0,Temperature Sensor,Generic Thermometers,1622,88,Temperature Sensor,,1000,,GENERIC 1622,,GENERIC 1622,Pyrometry Field,Pyrometry Lab,,1,27416.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235598,"ACU-RITE No. 00309SBDI Thermo-Hygrometer, Digital","ACU-RITE No. 00309SBDI Thermo-Hygrometer, Digital",AcuRite,1,,0,96552,THG19,THG19,Kevin Ferrante,,,,,,,,,,Main Location,False,False,False,620646,Pyro,170907,167394.0,AR 00309SBDI Benchtop Temperature and Humidity Chamber,AR 00309SBDI Benchtop Temperature and Humidity Chamber,116,114,Digital Hygrometer & Thermometer,,3316,AcuRite,00309SBDI,,00309SBDI,Pyrometry Lab,Pyrometry Lab/Field - Kevin F,,1,27424.0,,,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
1235610,Timer - Sportline 2787 - L271 (JC),Stopwatch M/N Sportline 2787 S/N L271 ID: JC,Sportline,1,,0,96552,L271 (JC),T4,Joe Craig,,,,,,,,,,Main Location,False,False,False,620646,Pyro,163252,163180.0,Sportimeter Model 2787,Sportimeter,113,95,Stopwatch,,2219,Sportline,2787,,2787,Pyrometry Field,,,1,27436.0,2278.0,Pyrometry Department,,,,False,0,,,,,,,,,,,,149992,,,,,,,,,,,,,,,,,,,,,0,
